,Applicant.ID,tags
147,239,  sales associate  
148,240,     
149,243,  none  
150,244,  cashiersandwich maker  
151,247,  crew member  
152,249,  server server busser food runner private event bar tender  
153,250,     
154,251,     
155,252,  busser dishwasher  
156,255,  barista  
157,256,  cashierserver host production area sales rep customer service rep book keeper receptionist server
158,257,  hostcashierdoor person  
159,259,  waitress  
160,265,  host server bartender  
161,266,  assistant  
162,267,  waitress  
163,271,  helper  
164,274,  supervisor  
165,279,  sales associate  
166,280,  server server  
167,282,  cashier  
168,285,  bookkeeper parttime bookkeeperadministrative assistant  
169,287,  store sales associate certified sales associate  
170,290,  gcic terminal operator  
171,292,     
172,297,  server  
173,301,  bartender bartenderserver  
174,302,  bartender server  
175,303,  line cook  
176,304,  registered dental assistant  
177,306,  cookline cook  
178,307,  busboy  
179,309,  bartender  
180,313,  server  
181,314,  technology associate  
182,315,  store keeper assistant  
183,316,  intern  
184,317,  hostess  
185,320,  truck driver  
186,326,  java developer  
187,327,  temporary worker  
188,330,  resident advisor  
189,331,  none none  
190,340,  caregiver  
191,341,  dishwasher prep cook  
192,343,  waitress and bartended  
193,355,  barista shift supervisor school admin  
194,361,  hostcashier  
195,362,  team member team member  
196,365,  intern  
197,366,  volunteerbarback  
198,370,  campus day leader social media and research intern  
199,372,  none  
200,373,  server  
201,378,  cashier server  
202,384,  server  
203,391,  server server  
204,394,  cook  
205,397,  student aide  
206,400,  none  
207,401,  server  florist  
208,404,  senior supervisor  
209,405,  event advisor  
210,406,  server bartender mixologist  
211,408,  service clerk buser  
212,421,  esl instructor  
213,437,  guest bartender  
15383,438,    customer service rep barista host server
214,441,  server  
215,448,  event staff  
216,452,  bartender bartender  
217,453,  office assistant  
218,460,  student assistant  
219,465,  none  
220,467,  package handler team leader  
221,469,  inside sales associate dessert prep cook  
222,470,  teacher  
223,471,  bartender  
224,476,  writing consultant  
225,477,  salesdriveroffice clerk  
226,480,  secratary  
227,482,  sales  
228,484,  administrative clerk office assistant  
229,492,  deli line retail  supervisor  
230,493,  servercustomer service  
231,494,  bartender  
232,495,  warehouseman  sales associate  
233,496,  bartender  
234,501,  learning advocate  
235,507,  cashier drive thru attendant food prep dishwasher  cook server host cashier  
236,508,  serverbartender  
237,510,  server  
238,511,  crew  
239,515,  asst. foh managerbartender interim production manager  
240,518,  assistant to the manager  
241,519,  servercashier  
242,520,  server  
243,522,  server  
244,532,  none  
245,534,  waitressbartender waitress  
246,537,  server serverserver trainer  
247,539,  lead server  
248,541,  serverhostess hostess  
249,543,  groggys food truck  
250,547,  none  
251,550,  sales associate  
252,552,  none  
253,554,  server  
254,555,  first grade teacher   
255,558,  hostessserver  
256,559,  waitress  
257,563,  server  
258,565,  customer service cashier  
259,568,  accounts receivable specialist receptionist customer service rep book keeper
260,570,  none  
261,573,  clerk  
262,581,  marketing director assistant  
263,582,  bead weaving teacher  
264,584,  representative  
265,587,  none  
266,591,  sales associate  
267,596,  server  certified trainer  server  
285,601,medical  healthcare opportunities  united states army  agana   customer service rep server line cook
268,601,f intelligence analyst  army national guard  barrigada   customer service rep server line cook
269,601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
270,601,toys r us express seasonal sales team member  toys r us inc  dededo   customer service rep server line cook
271,601,experience center associate pt  mahindra genze  palo alto   customer service rep server line cook
272,601,administrative support  customer service opportunities  united states army  palo alto   customer service rep server line cook
273,601,customer service representative  officeteam  oakland   customer service rep server line cook
274,601,    customer service rep server line cook
275,601,macys seasonal retail fitting room associate part time  newark ca  newpark mall  macys  newark   customer service rep server line cook
276,601,g aircraft structural repairer  army national guard  barrigada   customer service rep server line cook
277,601,macys seasonal retail fitting room associate part time  hayward ca  southland  macys  hayward   customer service rep server line cook
278,601,administrative support  customer service opportunities  united states army  palo alto   customer service rep server line cook
279,601,    customer service rep server line cook
281,601,server  tacolicious  palo alto   customer service rep server line cook
305,601,line cook  indo restaurant  lounge  palo alto   customer service rep server line cook
286,601,g aircraft structural repairer  army national guard  barrigada   customer service rep server line cook
282,601,g aircraft structural repairer  army national guard  barrigada   customer service rep server line cook
299,601,experience center associate pt  mahindra genze  palo alto   customer service rep server line cook
303,601,project manager  alternative assets  new york   customer service rep server line cook
283,601,line cook  indo restaurant  lounge  palo alto   customer service rep server line cook
295,601,associate manager  tumi inc  san francisco   customer service rep server line cook
289,601,temp to perm operations  hedge fund  new york   customer service rep server line cook
290,601,server  go go curry  midtown west  new york   customer service rep server line cook
291,601,server  tacolicious  palo alto   customer service rep server line cook
292,601,server  tacolicious  palo alto   customer service rep server line cook
293,601,server  tacolicious  palo alto   customer service rep server line cook
288,601,clo fund administrator  hedge fund  new york   customer service rep server line cook
294,601,toys r us express seasonal store supervisor  toys r us inc  dededo   customer service rep server line cook
296,601,retail sales consultant  att retail  bay area   customer service rep server line cook
297,601,experience center associate pt  mahindra genze  palo alto   customer service rep server line cook
298,601,g aircraft structural repairer  army national guard  barrigada   customer service rep server line cook
287,601,host  tacolicious  palo alto   customer service rep server line cook
300,601,immediate security openings for holiday coverage san jose region  universal protection service  palo alto   customer service rep server line cook
301,601,software intern  first data  palo alto   customer service rep server line cook
302,601,host  tacolicious  palo alto   customer service rep server line cook
304,601,g aircraft structural repairer  army national guard  barrigada   customer service rep server line cook
284,601,    customer service rep server line cook
280,601,dishwasher  sunrise senior living  palo alto   customer service rep server line cook
334,601,d field artillery tactical data system specialist  army national guard  richmond   customer service rep server line cook
316,601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
308,601,driving partner  uber  san francisco   customer service rep server line cook
309,601,server  japadog  new york   customer service rep server line cook
310,601,sales  marketing startup  entry level management potential  client  personal growth  professional development  stratford   customer service rep server line cook
311,601,sales associate  mens  barneys new york  sunrise   customer service rep server line cook
312,601,dishwasher  sunrise senior living  palo alto   customer service rep server line cook
313,601,security officer   jobs coalition  securitas usa  barrigada   customer service rep server line cook
324,601,retail sales consultant  att retail  bay area   customer service rep server line cook
315,601,driving partner  uber  san francisco   customer service rep server line cook
317,601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
318,601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
306,601,cashier  part time  big  sporting goods  menlo park   customer service rep server line cook
320,601,delivery team couriers drivers and bikers  orderahead  manhattan   customer service rep server line cook
321,601,driving partner  uber  san francisco   customer service rep server line cook
322,601,evening and weekends mens clothing sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
323,601,    customer service rep server line cook
314,601,driving partner  uber  san francisco   customer service rep server line cook
307,601,driving partner  uber  san francisco   customer service rep server line cook
319,601,evening and weekends mens clothing sales professional pt bloomingdales th street nyc  bloomingdales  new york   customer service rep server line cook
342,601,    customer service rep server line cook
327,601,environmental engineering technician esh chemical  kelly engineering resources  menlo park   customer service rep server line cook
328,601,hriscompensation systems analyst  the ascent services group  palo alto   customer service rep server line cook
326,601,toys r us express seasonal sales team member  toys r us inc  dededo   customer service rep server line cook
329,601,server  tacolicious  palo alto   customer service rep server line cook
330,601,server  tacolicious  palo alto   customer service rep server line cook
331,601,server  caffe riace  palo alto   customer service rep server line cook
333,601,line cook  indo restaurant  lounge  palo alto   customer service rep server line cook
332,601,communications specialist  intern  hewlettpackard  palo alto   customer service rep server line cook
325,601,server  tacolicious  palo alto   customer service rep server line cook
336,601,inventory management technician  milestone technologies  menlo park   customer service rep server line cook
337,601,medical records technician  officeteam  berkeley   customer service rep server line cook
338,601,q multichannel transmission systems operatormaintainer  army national guard  barrigada   customer service rep server line cook
339,601,y unit supply specialist  warehouse manager  army national guard  barrigada   customer service rep server line cook
340,601,b infantryman  management training  army national guard  barrigada   customer service rep server line cook
341,601,it logistics delivery technician  milestone technologies  menlo park   customer service rep server line cook
335,601,server  caffe riace  palo alto   customer service rep server line cook
343,606,  server  
344,610,  .........  
345,613,  server  waitressbussercashier  
346,615,  retail sales  alterations associate  
347,616,  server server  
348,618,  server  
349,620,  server  
350,621,  shite leader  
351,627,  sales associateretail ordering  
352,631,  security officer   
353,635,  none  
354,637,  none  
355,638,  none  
356,645,  parking lot attendant   
357,651,  server  
358,652,  statistical analyst and hr admin  
359,668,  host  
